,symbol,name,reportDate,fiscalDateEnding,estimate,currency
0,A,Agilent Technologies Inc,2022-05-23,2022-04-30,1.12,USD
1,AA,Alcoa Corp,2022-04-13,2022-03-31,2.29,USD
13,AAN,Aarons Company Inc (The),2022-04-25,2022-03-31,0.78,USD
16,AAPL,Apple Inc,2022-04-26,2022-03-31,1.43,USD
17,AAT,American Assets Trust Inc,2022-04-25,2022-03-31,0.14,USD
19,AAWW,Atlas Air Worldwide Holdings Inc,2022-05-03,2022-03-31,2.64,USD
20,AB,AllianceBernstein Holding Lp,2022-04-27,2022-03-31,0.87,USD
21,ABBV,Abbvie Inc,2022-04-28,2022-03-31,3.17,USD
22,ABC,Amerisource Bergen Corp,2022-05-03,2022-03-31,2.91,USD
24,ABCB,Ameris Bancorp,2022-04-20,2022-03-31,1.08,USD
30,ABG,Asbury Automotive Group Inc,2022-04-25,2022-03-31,9.09,USD
33,ABM,ABM Industries Inc,2022-03-07,2022-01-31,0.78,USD
34,ABMD,Abiomed Inc,2022-04-27,2022-03-31,1.09,USD
36,ABR,Arbor Realty Trust Inc,2022-05-05,2022-03-31,0.49,USD
40,ABT,Abbott Laboratories,2022-04-18,2022-03-31,1.48,USD
41,ABTX,Allegiance Bancshares Inc,2022-04-27,2022-03-31,0.83,USD
44,ACA,Arcosa Inc,2022-04-27,2022-03-31,0.26,USD
49,ACBI,Atlantic Capital Bancshares Inc,2022-04-20,2022-03-31,0.48,USD
50,ACC,American Campus Communities Inc,2022-04-18,2022-03-31,0.36,USD
54,ACCO,Acco Brands Corporation,2022-04-25,2022-03-31,0.1,USD
56,ACEL,Accel Entertainment Inc - Class A1,2022-03-14,2021-12-31,0.19,USD
64,ACGL,Arch Capital Group Ltd,2022-04-25,2022-03-31,1.13,USD
65,ACHC,Acadia Healthcare Company Inc,2022-02-28,2021-12-31,0.68,USD
70,ACIU,AC Immune SA,2022-03-21,2021-12-31,0.11,USD
73,ACLS,Axcelis Technologies Inc,2022-05-02,2022-03-31,0.92,USD
74,ACM,AECOM,2022-05-09,2022-03-31,0.79,USD
77,ACN,Accenture plc - Class A,2022-03-17,2022-02-28,2.39,USD
